ProductDescription,ProductSpecs,Prices
"
                                        Samsung Galaxy S22 Ultra (12GB + 512GB) Burgundy                                    ","
6.8-inch Quad HD+, Snapdragon 895, 512GB, 5000mAh 
","₱80,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 256GB) Phantom White                                    ","
6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh 
","₱72,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 256GB) Green                                    ","
6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh 
","₱72,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 256GB) Phantom Black                                    ","
6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh 
","₱72,990"
"
                                        Apple iPhone 13 Pro                                    ","
                                        256GB Gold                                        
","₱68,990"
"
                                        Apple iPhone 13 Pro                                    ","
                                        256GB Graphite                                        
","₱68,990"
"
                                        Apple iPhone 13 Pro                                    ","
                                        128GB Sierra Blue                                        
","₱61,990"
"
                                        Apple iPhone 13 Pro                                    ","
                                        128GB Gold                                        
","₱61,990"
"
                                        Apple iPhone 13 Pro                                    ","
                                        128GB Graphite                                        
","₱61,990"
"
                                        Apple iPhone SE (PRODUCT)RED (3rd Gen)                                    ","
128GB Red 
","₱30,490"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
128GB Starlight 
","₱30,490"
"
                                        Apple iPhone SE (PRODUCT)RED (3rd Gen)                                    ","
64GB Red 
","₱27,490"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
64GB Starlight 
","₱27,490"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
64GB Midnight 
","₱27,490"
"
                                        Apple iPhone 13 Pro Max                                    ","
256GB Alpine Green 
","₱75,990"
"
                                        Apple iPhone 13 Pro Max                                    ","
128GB Alpine Green 
","₱68,990"
"
                                        Apple iPhone 13 Pro                                    ","
256GB Alpine Green 
","₱68,990"
"
                                        Apple iPhone 13                                    ","
256GB Green 
","₱54,990"
"
                                        Samsung Galaxy A23 LTE Awesome White                                    ","
6.6-inch Full HD+, SD 680, 128GB, 5000mAh 
","₱12,990"
"
                                        Samsung Galaxy A23 LTE Awesome Black                                    ","
6.6-inch Full HD+, SD 680, 128GB, 5000mAh 
","₱12,990"
"
                                        Samsung Galaxy A33 5G (8GB + 256GB) Awesome Blue                                    ","
6.4-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱19,990"
"
                                        Samsung Galaxy A33 5G (8GB + 256GB) Awesome White                                    ","
6.4-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱19,990"
"
                                        Samsung Galaxy A33 5G (8GB + 256GB) Awesome Black                                    ","
6.4-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱19,990"
"
                                        Samsung Galaxy A13 (6GB + 128GB) Awesome Blue                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱10,990"
"
                                        Samsung Galaxy A13 (4GB + 128GB) Awesome Black                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱9,990"
"
                                        Samsung Galaxy A53 5G (8GB + 256GB) Blue                                    ","
6.5-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱23,490"
"
                                        Samsung Galaxy A53 5G (8GB + 256GB) Orange                                    ","
6.5-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱23,490"
"
                                        Samsung Galaxy A53 5G (8GB + 256GB) White                                    ","
6.5-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱23,490"
"
                                        Samsung Galaxy A53 5G (8GB + 256GB) Black                                    ","
6.5-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱23,490"
"
                                        Samsung Galaxy A53 5G (8GB + 128GB) Orange                                    ","
6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱21,490"
"
                                        Samsung Galaxy S22+ (8GB + 256GB) Phantom Black                                    ","
6.6-inch Full HD+, Snapdragon 895, 256GB, 4500mAh 
","₱60,990"
"
                                        Samsung Galaxy S22+ (8GB + 256GB) Green                                    ","
6.6-inch Full HD+, Snapdragon 895, 256GB, 4500mAh 
","₱60,990"
"
                                        Samsung Galaxy S22+ (8GB + 128GB) Phantom White                                    ","
6.6-inch Full HD+, Snapdragon 895, 128GB, 4500mAh 
","₱56,990"
"
                                        Samsung Galaxy S22+ (8GB + 128GB) Phantom Black                                    ","
6.6-inch Full HD+, Snapdragon 895, 128GB, 4500mAh 
","₱56,990"
"
                                        Samsung Galaxy S22+ (8GB + 128GB) Pink Gold                                    ","
6.6-inch Full HD+, Snapdragon 895, 128GB, 4500mAh 
","₱56,990"
"
                                        Samsung Galaxy A03 (4GB + 128GB) Black                                    ","
6.5-inch HD+, Unisoc T606, 128GB, 5000mAh 
","₱6,990"
"
                                        Samsung Galaxy A03 (4GB + 128GB) Blue                                    ","
6.5-inch HD+, Unisoc T606, 128GB, 5000mAh 
","₱6,990"
"
                                        Samsung Galaxy A03 (4GB + 128GB) Red                                    ","
6.5-inch HD+, Unisoc T606, 128GB, 5000mAh 
","₱6,990"
"
                                        Samsung Galaxy S22 (8GB + 256GB) Phantom White                                    ","
6.1-inch Full HD+, Snapdragon 895, 256GB, 3700mAh 
","₱49,990"
"
                                        Samsung Galaxy S22 (8GB + 256GB) Pink Gold                                    ","
6.1-inch Full HD+, Snapdragon 895, 256GB, 3700mAh 
","₱49,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Phantom White                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 512GB) Green                                    ","
6.8-inch Quad HD+, Snapdragon 895, 512GB, 5000mAh 
","₱80,990"
"
                                        Samsung Galaxy S22 Ultra (8GB + 128GB) Green                                    ","
6.8-inch Quad HD+, Snapdragon 895, 128GB, 5000mAh 
","₱68,990"
"
                                        Samsung Galaxy S22 Ultra (8GB + 128GB) Phantom Black                                    ","
6.8-inch Quad HD+, Snapdragon 895, 128GB, 5000mAh 
","₱68,990"
"
                                        Samsung Galaxy S22+ (8GB + 256GB) Phantom White                                    ","
6.6-inch Full HD+, Snapdragon 895, 256GB, 4500mAh 
","₱60,990"
"
                                        Xiaomi Redmi Note 11 (6GB + 128GB) Graphite Gray                                    ","
6.43-inch Full HD+, Snapdragon 680, 128GB, 5000mAh 
","₱9,999"
"
                                        Xiaomi Redmi Note 11 (6GB + 128GB) Twilight Blue                                    ","
6.43-inch Full HD+, Snapdragon 680, 128GB, 5000mAh 
","₱9,999"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 256GB) Graphite                                    ","
6.4-inch Full HD+, Exynos 2100, 256GB, 4500mAh 
","₱37,990"
"
                                        realme 8i (6GB + 128GB) Stellar Purple                                    ","
6.6-inch Full HD+, Helio G96, 128GB, 5000mAh 
","₱10,990"
"
                                        Vivo Y15A (4GB + 64GB) Wave Green                                    ","
6.51-inch HD+, MTK Helio P35, 64GB, 5000mAh 
","₱7,799"
"
                                        Vivo Y15A (4GB + 64GB) Mystic Blue                                    ","
6.51-inch HD+, MTK Helio P35, 64GB, 5000mAh 
","₱7,799"
"
                                        Vivo Y15S (3GB + 32GB) Wave Green                                    ","
6.51-inch HD+, MTK Helio P35, 32GB, 5000mAh 
","₱6,199"
"
                                        Vivo Y15S (3GB + 32GB) Mystic Blue                                    ","
6.51-inch HD+, MTK Helio P35, 32GB, 5000mAh 
","₱6,199"
"
                                        Huawei Nova 9 (8GB + 256GB) Black                                    ","
6.57-inch Full HD+, SD 778G 4G, 256GB, 4300mAh 
","₱19,999"
"
                                        Apple iPhone 13                                    ","
                                        256GB Blue                                        
","₱54,990"
"
                                        Apple iPhone 13                                    ","
                                        256GB Pink                                        
","₱54,990"
"
                                        Apple iPhone 13                                    ","
                                        256GB Midnight                                        
","₱54,990"
"
                                        Apple iPhone 13 (PRODUCT)RED                                    ","
                                        128GB Red                                        
","₱47,990"
"
                                        Apple iPhone 13                                    ","
                                        128GB Midnight                                        
","₱47,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        128GB Blue                                        
","₱45,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        128GB Starlight                                        
","₱45,990"
"
                                        Samsung Galaxy A03s (4GB + 64GB) Blue                                    ","
6.5-inch HD+, MTK Helio P35, 64GB, 5000mAh 
","₱5,990"
"
                                        Samsung Galaxy A03s (4GB + 64GB) Black                                    ","
6.5-inch HD+, MTK Helio P35, 64GB, 5000mAh 
","₱5,990"
"
                                        Apple iPhone 12                                    ","
256GB Black 
","₱53,990"
"
                                        Apple iPhone 12                                    ","
64GB Blue 
","₱39,490"
"
                                        Apple iPhone 12 (PRODUCT)RED                                    ","
64GB Red 
","₱39,490"
"
                                        Apple iPhone 12                                    ","
64GB White 
","₱39,490"
"
                                        Apple iPhone 12                                    ","
64GB Black 
","₱39,490"
"
                                        Apple iPhone 12 mini                                    ","
64GB Blue 
","₱33,490"
"
                                        Apple iPhone 11 (PRODUCT)RED                                    ","
128GB Red 
","₱30,990"
"
                                        Apple iPhone 11 (PRODUCT) RED                                    ","
64GB Red 
","₱27,490"
"
                                        Oppo A16 (4GB + 64GB) Space Silver                                    ","
6.52-inch HD, MTK Helio G35, 64GB, 5000mAh 
","₱8,199"
"
                                        Huawei nova 8 Blush Gold                                    ","
6.57-inch Full HD+, Kirin 820E, 128GB, 3800mAh 
","₱19,999"
"
                                        Vivo V21 5G Dusk Blue                                    ","
6.44-inch Full HD+, MTK 800U, 128GB, 4000mAh 
","₱19,999"
"
                                        realme 8 (8GB + 128GB) Cyber Silver                                    ","
6.4-inch Full HD+, Helio G95, 128GB, 5000mAh 
","₱12,990"
"
                                        realme 8 (8GB + 128GB) Cyber Black                                    ","
6.4-inch Full HD+, Helio G95, 128GB, 5000mAh 
","₱12,990"
"
                                        realme C11 2021 (2GB + 32GB) Iron Grey                                    ","
6.5-inch HD+, MTK Helio G35, 32GB, 5000mAh 
","₱5,599"
"
                                        Huawei nova 7i Crush Green                                    ","
6.4-inch, Kirin 810, 128GB, 4200mAh 
","₱8,998"
"
                                        realme XT Pearl White                                    ","
6.4-inch, Qualcomm SDM712 Snapdragon 712, 4000mAH 
","₱10,998"
"
                                        Huawei Mate30 Pro Black                                    ","
6.53-inch, Kirin 990, 256GB, 4500mAh 
","₱35,998"
"
                                        OPPO A5 2020 Dazzling White                                    ","
6.5-inch HD+, Snapdragon 665, 4GB, 5000mAh 
","₱10,498"
"
                                        OPPO Reno2 F Sky White                                    ","
6.5-inch, Mediatek MT6771V Helio P70, 4000 mAh 
","₱14,990"
"
                                        OPPO Reno2 F Lake Green                                    ","
6.5-inch, Mediatek MT6771V Helio P70, 4000 mAh 
","₱14,990"
"
                                        OPPO A9 2020 Marine Green                                    ","
6.5-inch, Qualcomm SM6125, 128GB, 5000mAh 
","₱13,990"
"
                                        OPPO F11 Marble Green                                    ","
6.5-inch, Octa-core, 4000mAh 
","₱8,998"
"
                                        Samsung Galaxy A23 5G Light Blue                                    ","
6.6-inch FHD+, SD 695 5G, 128GB, 5000mAh 
","₱18,990"
"
                                        Samsung Galaxy A23 5G Orange                                    ","
6.6-inch FHD+, SD 695 5G, 128GB, 5000mAh 
","₱18,990"
"
                                        Samsung Galaxy A23 5G Black                                    ","
6.6-inch FHD+, SD 695 5G, 128GB, 5000mAh 
","₱18,990"
"
                                        Samsung Galaxy Z Flip4 (8GB + 128GB) Bora Purple                                    ","
6.7-inch Full HD+, SD 8+ Gen 1, 128GB, 3700mAh 
","₱58,990"
"
                                        Samsung Galaxy A13 5G (4GB + 128GB) Orange                                    ","
6.5-inch HD+, MTK 5G-C, 128GB, 5000mAh 
","₱13,990"
"
                                        Samsung Galaxy A13 5G (4GB + 128GB) Black                                    ","
6.5-inch HD+, MTK 5G-C, 128GB, 5000mAh 
","₱13,990"
"
                                        realme C30 Bamboo Green                                    ","
6.5-inch HD+, Unisoc T612, 32GB, 5000mAh 
","₱4,999"
"
                                        Vivo V21e Roman Black                                    ","
6.44-inch Full HD+, SD 720G, 128GB, 4000mAh 
","₱15,999"
"
                                        Xiaomi Redmi 10C (4GB + 128GB) Graphite Gray                                    ","
6.71-inch HD+, SD 680, 128GB, 5000mAh 
","₱7,599"
"
                                        Samsung Galaxy A03 (3GB + 32GB) Red                                    ","
6.5-inch HD+, Unisoc T606, 32GB, 5000mAh 
","₱4,990"
"
                                        Samsung Galaxy A13 (6GB + 128GB) Awesome Peach                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱10,990"
