ProductDescription,Prices
" Huawei Matebook D14 Intel Core i3 10th Gen
Intel Core i3-10110U processor, 8GB RAM DDR4, 256GB NVMe PCIe SSD, 14in FHD (1920x1080), Intel UHD Graphics, Windows 10 
                        	Pay only P 3,107 a Month for 12 months or
P 5,884 a Month for 6 months on major credit cards.
						
"," ₱ 32,999

"
" Lenovo IdeaPad Flex 5i 14IIL05 81X1009WPH Intel Core i3 10th Gen
Intel Core i3 1035G1 (4C / 8T, 1.0 / 3.6GHz, 6MB), 4GB Soldered DDR4-3200, 256GB SSD M.2 2242 PCIe NVMe, 14 inches FHD (1920x1080) TN 220nits Glossy, Integrated Intel UHD Graphics, Windows 10 Home 
                        	Pay only P 3,201 a Month for 12 months or
P 6,062 a Month for 6 months on major credit cards.
						
"," ₱ 33,995

"
" MSI MODERN 14 B10MW-262LA Intel Core i3 10th Gen
Intel Core i3-10110U, 8GB DDR4 (3200MHz), 512GB NVMe PCIe SSD, 14 inches FHD IPS  
Thin Bezel, Anti-Glare, Intel UHD Graphics, White Keyboard backlight, Windows 10 
                        	Pay only P 3,201 a Month for 12 months or
P 6,062 a Month for 6 months on major credit cards.
						
"," ₱ 33,995

"
" MSI MODERN 14 B4MW-226LA AMD Ryzen 3 4300U
AMD Ryzen 3 4300U, AMD Radeon Graphics, 14.0 inches FHD IPS-Level, 8GB DDR4, 512GB NVMe PCIe SSD, Windows 10 
                        	Pay only P 3,201 a Month for 12 months or
P 6,062 a Month for 6 months on major credit cards.
						
"," ₱ 33,995

"
" Lenovo Slim  3i  14ITL6 (82H701CJPH)  Intel Core  i3- 1115G4
IdeaPad Slim 3i 14ITL6 ,Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB) ,Integrated Intel UHD Graphics , 4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200 , 512GB SSD M.2 2242 PCIe 3.0x4 NVMe , Windows 11 , Display 15.6 (1920x1080) IPS 300nits Anti-glare, 45% NTSC , WLAN + Bluetooth 11ac, 2x2 + BT5.0 , Battery Integrated 45Wh 
                        	Pay only P 3,201 a Month for 12 months or
P 6,062 a Month for 6 months on major credit cards.
						
"," ₱ 33,995

"
" Lenovo Slim 3 81WE00H9PH Intel Core i3 10th Gen
Intel Core i3-1005G1 (2C / 4T, 1.2 / 3.4GHz, 4MB), 4GB DDR4, 512GB SSD M.2 2242 PCIe NVMe 3.0, 15.6"" FHD (1920x1080) TN 220nits Anti-glare, NVIDIA GeForce MX330 2GB GDDR5, Windows 10 Home 
                        	Pay only P 3,201 a Month for 12 months or
P 6,063 a Month for 6 months on major credit cards.
						
"," ₱ 33,999

"
" Acer Aspire 5 A514-54-37V6 Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, 8GB onboard DDR4, 256GB NVMe SSD, 14 inches display with IPS (In-Plane Switching) technology, FHD 1920 x 1080, Intel UHD Graphics, Windows 10 Pay only P 5,666 a Month for 6 months or
P 3,031 a Month for 12 months on major credit cards. NOW! P29,999 Acer Summer Campaign Promo. Valid from April 22 up to May 15, 2022
"," ₱ 33,999

"
" Lenovo IdeaPad Slim 3i 15ITL6 82H801V3PH Intel Core i3 11th Gen
Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB), 8GB DDR4 (4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200), 512GB SSD M.2 2280 PCIe 3.0x4 NVMe, 15.6 inches FHD (1920x1080), Intel UHD Graphics, Windows 11 Home 
                        	Pay only P 3,295 a Month for 12 months or
P 6,240 a Month for 6 months on major credit cards.
						
"," ₱ 34,995

"
" Lenovo IdeaPad 3i 14ITL05 81X70077PH Intel Core i3 11th Gen
Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB), 8GB DDR4 (4GB Soldered DDR4-2666 + 4GB SO-DIMM DDR4-2666), 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 14 inches FHD (1920x1080), Integrated Intel UHD Graphics, Windows 11 Pay only P 5,832 a Month for 6 months or
P 3,120 a Month for 12 months on major credit cards.
"," ₱ 34,995

"
" Acer Travelmate P214-52-33WN Intel Core i3 10th Gen + 128GB SSD
Intel Core i3-10110U Processor 4M Cache, (2.1 GHz up to 4.10 GHz), 8GB DDR4 up to 32GB, 128GB SSD + 1 TB HDD, Intel UHD Graphics, 14 Inches, Windows 10 Home 
                        	Pay only P 3,295 a Month for 12 months or
P 6,240 a Month for 6 months on major credit cards.
						
"," ₱ 34,995

"
" Acer Travelmate P214-52-52Y5 Intel Core i5 10th Gen
Intel Core i5-10210U Processor 1.60 GHz 6M Cache, up to 4.20 GHz, 8GB DDR4 SDRAM, 1TB SATA 5400RPM, 14 inches HD 1366 x 768 resolution, Intel UHD Graphics, Windows 10 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Huawei MateBook D15 WAH9A Intel Core i5 10th Gen
Intel Core i5-10210U processor, 8GB DDR4 Memory, 256GB NVMe PCIe SSD, 15.6 inches FHD (1920x1080) IPS, Intel UHD Graphics 620 Intigrated, Windows 10 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Acer Aspire 5 A514-55-34F7 Intel Core I3- 1215U
Aspire 5 Intel Core i3-1215U processor,8 GB of DDR4 system memory, 256GB NVMe SSD (HDD Upgrade kit ready) | 14.0 Display display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, high-brightness Acer ComfyView, LED-backlit TFT LCD ,Intel UHD Graphics, Wi-Fi 6E Wireless LAN 802.11 windows 11 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Acer Aspire 5 A514 -55 -36NK- Intel Core I3- 1215U
Aspire 5 intel Core i3-1215U processor,8 GB of DDR4 system memory, 256GB NVMe SSD (HDD Upgrade kit ready) ,14.0 Display display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, high-brightness Acer ComfyView, LED-backlit TFT LCD . Intel UHD Graphics , Wi-Fi 6E Wireless LAN 802.11 a/b/g/n/ac/ax wireless LAN , 48 Wh 3-cell Li-ion battery , Windows 11 home 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Acer Aspire 5  A514- 55- 37VX Intel Core I3- 1215U
Aspire 5  Intel Core i3-1215U processor ,8 GB of DDR4 system memory ,256GB NVMe SSD (HDD Upgrade kit ready) ,14.0 Display display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, high-brightness Acer ComfyView, LED-backlit TFT LCD , Intel UHD Graphics , Wi-Fi 6E Wireless LAN 802.11 a/b/g/n/ac/ax wireless LAN , 48 Wh 3-cell Li-ion battery , Windows 11 home 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Huawei Matebook D15- 11G- Intel Core i3- 1135G
Huawei MateBook D 15 Laptop , Intel Core i3-1135G,8GB +256GB , Eye Comfort Huawei FullView Display , Super Device , Fingerprint Power Button 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Acer Aspire 5 A514-54-59EX / 50LD Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor 8M Cache, up to 4.20 GHz, 14"" HD In-plane Switching (IPS) Technology, Inte Iris Xe, 4GB DDR4 SDRAM, 1TB HDD + 256GB SSD, Windows 10 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Acer Aspire 5 A514-54-56M0 Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor, 4GB DDR4, 1TB HDD + 256GB SSD, 14 inches HD LED Display, Intel IRIS X Graphics, Windows 10 Pay only P 5,833 a Month for 6 months or
P 3,120 a Month for 12 months on major credit cards.
"," ₱ 34,999

"
" Acer Aspire 3 A315-58-3474 Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, DDR4 or LPDDR4x), 8GB of onboard DDR4, 512GB NVMe SSD (HDD Upgrade kit ready), 15.6in Full HD 1920 x 1080, high-brightness Acer ComfyViewTM LED backlit TFT LCD, Intel UHD Graphics, Windows 10 
                        	Pay only P 3,295 a Month for 12 months or
P 6,241 a Month for 6 months on major credit cards.
						
"," ₱ 34,999

"
" Acer Aspire 3 A315-56-594H (Blue) 512U (Red) Intel Core i5 10th Gen
Intel Core i5-1035G1 processor (6 MB Smart Cache, 1.0 GHz with Turbo Boost up to 3.6 GHz, DDR4 or LPDDR4), 4GB of onboard DDR4 memory, 512GB NVMe SSD, 15.6 inches HD 1366 x 768 resolution, high-brightness Acer ComfyView LED backlit TFT LCD, Intel UHD Graphics, Windows 11 Home 
                        	Pay only P 3,389 a Month for 12 months or
P 6,419 a Month for 6 months on major credit cards.
						
"," ₱ 35,999

"
" Acer Aspire 5 A515-56G-31YF Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, DDR4 or LPDDR4x), 8GB onboard DDR4, 512GB NVMe M.2 SSD, 15.6 inches FHD (1920 x 1080), NVIDIA GeForce MX350 GDDR5 2GB, Windows 11 
                        	Pay only P 3,483 a Month for 12 months or
P 6,596 a Month for 6 months on major credit cards.
						
"," ₱ 36,990

"
" Asus X415JP-EK173T Intel Core i5 10th Gen
Intel Core i5-1035G1, 4GB Onboard + 4GB DDR4 Memory, 256G M.2 NVMe PCIE3 SSD, 14 inches FHD 1920x1080 LED Display, NVIDIA GeForce MX330 Graphics 2GB GDDR5,  Windows 10 
                        	Pay only P 3,483 a Month for 12 months or
P 6,597 a Month for 6 months on major credit cards.
						
"," ₱ 36,995

"
" Asus VivoBook Flip 14 TP412FA-EC339T Intel Core i3 10th Gen
Intel Core i3-10110 Processor, 8GB DDR4, 512GB PCIe M.2 SSD, 14 inches FHD 1920x1080 LED Display (Touch), Intel UHD Graphics, Windows 10 
                        	Pay only P 3,483 a Month for 12 months or
P 6,597 a Month for 6 months on major credit cards.
						
"," ₱ 36,995

"
" Asus Vivobook 14- X1402ZA- EB109WS- Intel Core I3- 1220P
Vivobook (Quiet Blue) , 14 FHD , i3-1220P , 8GB RAM DDR4 , 512 GB SSD , UHD Graphics , Windows 11 Home , MS Office Home & Student 2021 . 
                        	Pay only P 3,483 a Month for 12 months or
P 6,597 a Month for 6 months on major credit cards.
						
"," ₱ 36,995

"
" Acer Aspire 5 A515-56G-34QK Intel Core i3 11th Gen
Intel Core i3-1115G4 Processor 6M Cache, up to 4.10 GHz, 8GB DDR4, 512GB NVMe M.2 SSD, 15.6 inches HD 1920 x 1080 resolution, NVIDIA GeForce MX350, Windows 10 
                        	Pay only P 3,484 a Month for 12 months or
P 6,598 a Month for 6 months on major credit cards.
						 NOW! P31,999 Promo. Valid from May 26 up to June 14, 2022
"," ₱ 36,999

"
" Lenovo IdeaPad Slim 3 14ALC6 82KT002LPH AMD Ryzen 5 5500U
AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3), 8GB DDR4 (4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200), 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 14 inches FHD (1920x1080) IPS 300nits Anti-glare, 45% NTSC, Integrated AMD Radeon Graphics, Windows 10 Home 
                        	Pay only P 3,577 a Month for 12 months or
P 6,775 a Month for 6 months on major credit cards.
						
"," ₱ 37,995

"
" MSI MODERN 14 B11M-092LA Inter Core i3 11th Gen
Intel Core i3-1115G4 Processor 6M Cache, up to 4.10 GHz, 8GB DDR4, 512GB NVMe PCIe Gen4 SSD, 14.0 inches FHD, Intel Iris Xe graphics IPS-Level, Windows 10 
                        	Pay only P 3,577 a Month for 12 months or
P 6,775 a Month for 6 months on major credit cards.
						
"," ₱ 37,995

"
" ASUS M14021A-EB006WS AMD Ryzen 5 4600H
AMD Ryzen 5 4600H Mobile Processor (6C/12T, 11MB Cache, 4.0 GHz), 8GB DDR4 onboard SO-DIMM,upgradable to 16GB, 512GB M.2 PCIe 3.0 SSD, 14 inches, AMD Radeon Graphics, Windows 11 
                        	Pay only P 3,577 a Month for 12 months or
P 6,775 a Month for 6 months on major credit cards.
						
"," ₱ 37,995

"
" Huawei Matebook D15 WAQ9CR AMD Ryzen 5 3500H
AMD Ryzen 5 3500H, 4GB DDR4 Memory, 512GB NVMe M.2 SSD, 15.6"" 1920 x 1080 (141PPI) FHD Display, AMD Radeon Vega 8 Graphics, Windows 10 
                        	Pay only P 3,578 a Month for 12 months or
P 6,776 a Month for 6 months on major credit cards.
						
"," ₱ 37,999

"
" Acer Aspire 5 A514-54G-51A8 Core-i5 11th Gen
Intel Core i5-1135G7, 4GB DDR4 Memory, 1TB HDD + 256GB SSD, 14inch HD LED Display, nVidia Geforce MX350 2GB VRAM, WiFi + BT, Webcam, Windows 10 Pay only P 6,333 a Month for 6 months or
P 3,388 a Month for 12 months on major credit cards.
"," ₱ 37,999

"
" Lenovo Lenovo Ideapad Slim 3 82KT00P9PH AMD Ryzen 5 5500U
AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3), 4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200, 512GB SSD M.2 NVMe, 14 inches FHD (1920x1080), Integrated AMD Radeon Graphics, Windows 11 
                        	Pay only P 3,672 a Month for 12 months or
P 6,954 a Month for 6 months on major credit cards.
						
"," ₱ 38,995

"
" Lenovo IdeaPad Slim 3 15ALC6 82KU01AUPH AMD Ryzen 5 5500U
AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3), 4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200, 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 15.6 inches FHD Display (1920x1080), Integrated AMD Radeon Graphics, Windows 11 
                        	Pay only P 3,672 a Month for 12 months or
P 6,954 a Month for 6 months on major credit cards.
						
"," ₱ 38,995

"
" Lenovo IdeaPad Slim 3 15ALC6 82KU0024PH AMD Ryzen 5 5500U
AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3), 8GB DDR4 (4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200), 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 15.6in FHD (1920x1080), AMD Radeon Graphics, Windows 10 Home 
                        	Pay only P 3,672 a Month for 12 months or
P 6,954 a Month for 6 months on major credit cards.
						
"," ₱ 38,995

"
" HP 15S-EQ3045AU AMD Ryzen 5 5500U
AMD Ryzen 5-5500U, 16GB DDR4, 512GB NVMe M.2 PCIe, 15.6 inches FHD Display (1920x1080), AMD Radeon Graphics, Windows 11, MS Office Home and Student 
                        	Pay only P 3,765 a Month for 12 months or
P 7,131 a Month for 6 months on major credit cards.
						
"," ₱ 39,990

"
" HP 15S-EQ2158AU Ryzen 5 5500U
AMD Ryzen 5 5500U (up to 4.0 GHz max boost clock, 8MB L3 cache, 6 cores, 12 threads), 8GB DDR4-3200 SDRAM (1 x 8 GB), 512GB PCIe NVMe M.2 SSD, 15.6 inches diagonal FHD (1920 x 1080), AMD Radeon Graphics, Windows 11 
                        	Pay only P 3,765 a Month for 12 months or
P 7,131 a Month for 6 months on major credit cards.
						
"," ₱ 39,990

"
" Asus VivoBook 14 X415EP-EB225T Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores), 4GB DDR4 onboard + 4GB DDR4, 256GB M.2 NVMe PCIe 3.0 SSD, 14 inches FHD (1920 x 1080) 16:9, NVidia MX230 2GB Graphics, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						 NOW! P38,995 Promo. Valid until June 30, 2022
"," ₱ 39,995

"
" Lenovo IdeaPad S340-14IILD 81WJ0045PH Intel Core i5 10th Gen
Intel Core i5-1035G1, 4GB DDR4, 256GB SSD M.2 2280 PCIe NVMe + 1TB HDD, 14 inches FHD (1920x1080) Display, NVIDIA GeForce MX250 2GB GDDR5, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						
"," ₱ 39,995

"
" Lenovo IdeaPad Slim 3i 14IIL05 81WD00L5PH Intel Core i5 10th Gen
Intel Core i5-1035G1 (4C / 8T, 1.0 / 3.6GHz, 6MB), 4GB Soldered DDR4, 512GB SSD M.2 2242 PCIe NVMe 3.0x2, 14 inches FHD (1920x1080) TN 220nits Anti-glare, NVIDIA GeForce MX330 2GB GDDR5, Windows 10 Home 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						
"," ₱ 39,995

"
" Asus X415EP-EB320T Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor 1.0 GHz (8MB Cache, 2.4Ghz up to 4.2 GHz, 4 cores), 4GB DDR4 onboard, 1TB SATA 5400RPM 2.5"" HDD + 256GB SSD, 14 inches FHD (1920 x 1080), NVIDIA GeForce MX330 2GB GDDR5, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						 NOW! P38,999 Promo. Valid until June 30, 2022
"," ₱ 39,995

"
" Asus X515JP-EJ385T Intel Core i5 10th Gen
Intel Core i5-1035G1, 8GB (4GB onboard + 4GB DDR4), 256GB SSD,  15.6 inches FHD (1920 x 1080), NVIDIA GeForce MX330 graphics, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						
"," ₱ 39,995

"
" Asus VivoBook SLATE 13 OLEDT3300KA-LQ035WS Intel Pentium N6000
Intel Pentium Silver N6000 Processor 1.1 GHz (4M Cache, up to 3.3 GHz, 4 cores), 4GB LPDDR4X on board, 128GB eMMC, 13.3 inches FHD (1920 x 1080) OLED 16:9 aspect ratio, SGS Eye Care Display, OLED TOUCHSCREEN, Intel UHD Graphics, SOFT DETACHABLE KB/STAND, Windows 11 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						
"," ₱ 39,995

"
" Lenovo IdeaPad Slim 3i 15ITL6 82H801V5PH Intel Core i5 11th Gen
Intel Core i5-1135G7 (8MB Intel Smart Cache, 2.40 GHz up to 4.20 GHz), 8GB onboard DDR4-3200, 512GB SSD M.2 2280 PCIe 3.0x4 NVMe, Display 15.6 inches FHD (1920x1080), Integrated Intel Iris Xe Graphics, Windows 11 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home & Student 2021 (Pre-installed)
"," ₱ 39,995

"
" Acer Aspire 5 A515-56G-57TD Intel Core i5 11th Gen
Intel Core i5-1135G7, 8GB DDR4, 512GB NVMe SSD, 15.6 inches FHD (1920 x 1080), NVIDIA GeForce MX350 GDDR5 2GB, Windows 10 Home 
                        	Pay only P 3,766 a Month for 12 months or
P 7,132 a Month for 6 months on major credit cards.
						 Free: Microsoft Office 2019 Home and Student (Pre-Installed)
"," ₱ 39,995

"
" Acer Aspire 5 A514-54G-58R6 Intel Core i5 11th Gen
Intel Core i5 - i5-1135G7, 2.40 GHz, 4GB DDR4 Memory, 1TB HDD + 256GB SSD, 14 inches FHD IPS LED Display, nVidia Geforce MX350 2GB VRAM, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,133 a Month for 6 months on major credit cards.
						
"," ₱ 39,999

"
" Acer Aspire 5 514-54-50LX Intel Core i5 11th Gen
Intel Core i5-1135G7 processor (8 MB Smart Cache, 2.4 GHz with Turbo Boost up to 4.2 GHz), 8 GB of onboard DDR4 system memory, 512GB NVMe SSD (HDD Upgrade kit ready), 14.0 inches display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, Intel Iris X Graphics, Windows 11 
                        	Pay only P 3,766 a Month for 12 months or
P 7,133 a Month for 6 months on major credit cards.
						
"," ₱ 39,999

"
" Huawei Matebook D14 WAQ9BR AMD Rzyen 5 3500H
AMD Ryzen 5 3500H, 8GB DDR4 Memory, 512GB NVMe M.2 SSD, 14 inches FHD 1920 x 1080 Display, AMD Radeon Vega 8 Graphics, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,133 a Month for 6 months on major credit cards.
						
"," ₱ 39,999

"
" Acer A514-54-55K5 / 59LK Intel Core i5 11th Gen
Intel Core i5-1135G7 (2.4 upto 4.2GHz / 8MB Cache), 8GB DDR4 onboard, 512GB SSD, 14 inches FHD with IPS 1920 x 1080, Intel Iris X Graphics, Windows 10 Home/ Free Office 2019 for Home and Student. Pay only P 6,666 a Month for 6 months or
P 3,566 a Month for 12 months on major credit cards.
"," ₱ 39,999

"
" Acer Aspire 5 A515-56-5843 Intel Core i5 11th Gen
Intel Core i5-1135G7 processor (8 MB Smart Cache, 2.4 GHz with Turbo Boost up to 4.2 GHz), 8GB onboard DDR4 memory, 512GB NVMe SSD (HDD Upgrade kit ready), 15.6 inches Full HD 1920 x 1080,  Intel Iris Xe Graphics, Windows 10 Home 
                        	Pay only P 3,766 a Month for 12 months or
P 7,133 a Month for 6 months on major credit cards.
						 Microsoft Office 2019 Home and Student (Pre-Installed)
"," ₱ 39,999

"
" Acer Aspire 5 A514-54G-51PU Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor, 4GB DDR4, 1TB HDD + 256GB SSD, 14 inches FHD IPS LED, nVidia Geforce MX350 2GB VRAM, Windows 10 Pay only P 6,666 a Month for 6 months or
P 3,566 a Month for 12 months on major credit cards.
"," ₱ 39,999

"
" Acer Aspire 5 A514-54G-56QL Intel Core-i5 11th Gen
Aspire 5 A514-54G-56QL Intel Core i5-1135G7 11th Gen Processor, 4GB DDR4, 1TB HDD + 256GB SSD, 14 inches FHD IPS LED Display, nVidia Geforce MX350 2GB VRAM, Windows 10 
                        	Pay only P 3,766 a Month for 12 months or
P 7,133 a Month for 6 months on major credit cards.
						
"," ₱ 39,999

"
" Asus X415EP-EB213T Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores), 4GB DDR4 on board + 4GB DDR4 SO-DIMM, 1TB HDD + 256GB M.2 NVMe SSD, 14 inches FHD (1920 x 1080), NVIDIA GeForce MX330, Windows 10 Home 
                        	Pay only P 3,860 a Month for 12 months or
P 7,310 a Month for 6 months on major credit cards.
						 NOW! P39,999 Promo. Valid until June 30, 2022
"," ₱ 40,995

"
" HP 15S-FQ5082TU Intel Core i5 12th Gen
Intel Core i5-1235U, 8GB DDR4, 512GB NVMe M.2 PCIe, 15.6 inches FHD Display (1920x1080), Intel Iris Xe, Windows 11 
                        	Pay only P 3,954 a Month for 12 months or
P 7,488 a Month for 6 months on major credit cards.
						
"," ₱ 41,990

"
" HP 15s-FQ4033TU Intel Core i5 11th Gen
Intel Core i5-1155G7 Processor (up to 4.5 GHz with Intel Turbo Boost Technology, 8 MB L3 cache, 4 cores, 8 threads), 8GB DDR4, 512GB PCIe NVMe TLC M.2 SSD, 15.6 inches diagonal FHD (1920 x 1080), Intel Iris Xe Graphics, Windows 11 
                        	Pay only P 3,954 a Month for 12 months or
P 7,488 a Month for 6 months on major credit cards.
						 Free: Microsoft Office 2019 Home and Student (Pre-Installed)
"," ₱ 41,990

"
" Asus X415JP-EK230W Intel Core i5 10th Gen
Intel Core i5-1035G7, 14 inches FHD, 4GB onboard + 4GB DDR4, 1TB HDD + 256GB M.2 NVMe SSD, 2GB NVidia MX330 Graphics 2GB, Windows 11 
                        	Pay only P 3,954 a Month for 12 months or
P 7,489 a Month for 6 months on major credit cards.
						
"," ₱ 41,995

"
" Asus X415JP-EK181T Intel Core i5 10th Gen
Intel Core i5-1035G1 Processor (6M Cache, up to 3.60 GHz), 8GB DDR4 (4GB OB + 4GB), 256GB M.2 SSD + 1TB HDD, 14 INCHES (1920 x 1080), NVIDIA MX330 2GB, WINDOWS 10 HOME 
                        	Pay only P 3,954 a Month for 12 months or
P 7,489 a Month for 6 months on major credit cards.
						
"," ₱ 41,995

"
" Acer Swift 3 SF314-43-R06N AMD Ryzen 5 5500U
AMD Ryzen 5 5500U hexa-core processor (up to 3MB L2 cache, up to 8MB L3 cache, 2.1 GHz with Precission Boost up to 4.0 GHz), 8GB onboard LPDDR4, 512GB NVMe M.2 SSD, 14 inches IPS technology Full HD 1920 x 1080, AMD Radeon Graphics, Windows 11 
                        	Pay only P 3,954 a Month for 12 months or
P 7,489 a Month for 6 months on major credit cards.
						 Take P3,500 OFF + FREE Wireless Mouse. Exclusive offer for Online Cash Buyers and Cash Buyers at Asianic  (SM San Lazaro, SM Megamall, SM North Edsa, SM Cubao & Festival Mall Alabang) Valid until Sep 19, 2022.
"," ₱ 41,999


"
" Acer Aspire Vero AV15-51-57WC Intel Core i5 11th Gen
Intel Core i5-1155G7 processor (8 MB Smart Cache, 2.5 GHz with Turbo Boost up to 4.5 GHz, DDR4 or LPDDR4x, Intel Iris Xe Graphics), 8GB of onboard DDR4, 512GB NVMe SSD, 15.6 inches display with IPS technology, Full HD 1920 x 1080, Acer ComfyViewTM LED-backlit TFT LCD, Windows 11 Home 
                        	Pay only P 3,954 a Month for 12 months or
P 7,489 a Month for 6 months on major credit cards.
						
"," ₱ 41,999

"
" Lenovo IdeaPad Slim 3i 14ITL6 82H70126PH Intel Core i5 11th Gen
Intel Core i5-1135G7 (4C / 8T / 2.4GHz up to 4.2GHz, 8mb cache), 8GB DDR4, 512GB NVMe M.2 PCIe SSD, 14.0 inches FHD Display (1920 x 1080), NVidia GeForce MX350 Graphics, Windows 11 
                        	Pay only P 4,048 a Month for 12 months or
P 7,667 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 42,995

"
" Lenovo IdeaPad 5 14ITL05 (82FE0014PH / 13PH) Core i5 11th Gen
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB), 8GB Soldered DDR4-3200, 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 14 inches FHD (1920x1080), Integrated Intel Iris Xe Graphics, Windows 10 Home, MS Office Home & Student 2019 
                        	Pay only P 4,048 a Month for 12 months or
P 7,667 a Month for 6 months on major credit cards.
						
"," ₱ 42,995

"
" Lenovo IdeaPad Slim 3i 15ITL6 82H801V7PH Intel Core i5 11th Gen
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB), 8GB Soldered DDR4-3200, 512GB SSD M.2 2280 PCIe 3.0x4 NVMe, Display 15.6 inches FHD (1920x1080), NVIDIA GeForce MX350 2GB GDDR5, Windows 11 
                        	Pay only P 4,048 a Month for 12 months or
P 7,667 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home & Student 2021 (Pre-installed)
"," ₱ 42,995

"
