ProductDescription,Prices
" Acer Acer Aspire 3 A315-35-P5N9 Intel Pentium Silver N6000
Intel Pentium Silver N6000 Processor (4 MB L2 Cache, 1.10 GHz, up to 3.30 GHz with Intel Burst Technology, DDR4 or LPDDR4), 8GB of DDR4 system memory, 256GB NVMe SSD, 15.6 inches Full HD 1920 x 1080, Intel UHD Graphics, Windows 11 
                        	Pay only P 2,354 a Month for 12 months or
P 4,458 a Month for 6 months on major credit cards.
						
"," ₱ 24,999

"
" Asus X415KA-BV042T Intel Pentium Silver N6000
Intel Pentium Silver N6000 Processor, 8GB DDR4 RAM, 256GB PCI3 SSD, 14 inches HD (1366 x 768), Intel UHD Graphics, Windows 10 
                        	Pay only P 2,447 a Month for 12 months or
P 4,635 a Month for 6 months on major credit cards.
						
"," ₱ 25,995

"
" Asus X515KA-BR060T Intel Pentium Silver N6000
Intel Pentium Silver N6000, 8GB DDR4, 256GB M.2 NVMe SSD
15.6 Inches (1366 X 768), Intel UHD Graphics, Windows 10 
                        	Pay only P 2,447 a Month for 12 months or
P 4,635 a Month for 6 months on major credit cards.
						
"," ₱ 25,995

"
" HP 14s-DQ3036TU Intel Pentium Silver N6000
Intel Pentium N6000 (up to 3.3 GHz burst frequency, 4 MB L3 cache, 4 cores, 4 threads), 8GB DDR4-2933 SDRAM, 256GB PCIe NVMe M.2 SSD, 14 inches diagonal HD (1366 x 768), Intel UHD Graphics, Windows 11 
                        	Pay only P 2,448 a Month for 12 months or
P 4,636 a Month for 6 months on major credit cards.
						
"," ₱ 25,999

"
" Acer Aspire 3 A315-58-345U Intel Core i3 11th Gen
Intel Core i3-1115G4 (4MB Smart Cache, 1.2 Ghz with Turbo Boost up to 3.4 Ghz, DDR4 or LPDDR4), 4GB of onboard DDR4 memory, 256GB NVMe SSD (HDD Upgrade Kit Ready), 15.6 inches FHD 1920 x 1080, Intel UHD Graphics, Windows 11 
                        	Pay only P 2,542 a Month for 12 months or
P 4,814 a Month for 6 months on major credit cards.
						
"," ₱ 26,999

"
" Asus M515DA-BR918T AMD Ryzen 3 3250U
AMD Ryzen 3 3250U, 4GB+4GB (Onboard) DDR4 Memory, 256GB NVMe M.2 SSD, 15.6 inches Display, AMD Radeon Graphics, Windows 10 Pay only P 9,331 a Month for 3 months on major credit cards.
"," ₱ 27,995

"
" Lenovo IdeaPad Slim 3i 15IML05 81WB01E1PH Intel Core i3 10th Gen
Intel Core i3-10110U (2C / 4T, 2.1 / 4.1GHz, 4MB), 4GB Soldered DDR4-2666 + 4GB DDR4-2666, 512GB SSD M.2 2280 PCIe 3.0x4 NVMe, 15.6 inches FHD (1920x1080), Integrated Intel UHD Graphics, Windows 11 
                        	Pay only P 2,636 a Month for 12 months or
P 4,993 a Month for 6 months on major credit cards.
						
"," ₱ 27,999

"
" Lenovo IdeaPad Slim 3i 15ITL05 81X800EBPH Intel Core i3 11th Gen
Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB), 8GB DDR4 (4GB Soldered DDR4-2666 + 4GB SO-DIMM DDR4-2666), 256GB SSD M.2 2242 PCIe 3.0x4 NVMe,15.6 inches FHD (1920x1080), Integrated Intel UHD Graphics, Windows 11 
                        	Pay only P 2,730 a Month for 12 months or
P 5,170 a Month for 6 months on major credit cards.
						
"," ₱ 28,995

"
" Acer Aspire 5 A514-54-31WL Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, DDR4 or LPDDR4x), 8GB of onboard DDR4 system memory, 256 NVMe SSD, 14 inches display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, Intel UHD Graphics, Windows 11 
                        	Pay only P 2,730 a Month for 12 months or
P 5,171 a Month for 6 months on major credit cards.
						
"," ₱ 28,999

"
" Acer Aspire 3  A315-58- 39ww Intel Core I3- 1115G4
Aspire 3 A315-58-39WW 15.6 (Pure Silver) , 15.6 FHD , Intel Core i3-1115G4 , 12GB RAM DDR4 , 256GB SSD , Intel UHD graphics , Windows 11 Home, 
                        	Pay only P 2,730 a Month for 12 months or
P 5,171 a Month for 6 months on major credit cards.
						 Take P1,500 OFF + FREE Acer Folding Desk. Exclusive offer for Online Cash Buyers and Cash Buyers at Asianic (SM Masinag, SM Cubao, SM Mall of Asia, SM San Lazaro & Ayala Market Market) Valid until Sep 19, 2022.
"," ₱ 28,999


"
