,Region,Sqm,Bathrooms,Bedrooms,Cost
167,Quezon City,26,1,0,4260000.0
168,Other NCR loc,46,1,0,4130000.0
169,Makati,28,1,0,11500000.0
170,Taguig,78,3,2,22800000.0
171,IV A,60,1,2,50000000.0
172,Taguig,74,3,2,21000000.0
173,IV A,37,1,0,7970000.0
174,Pasay,38,1,0,10800000.0
175,Quezon City,23,1,0,3400000.0
176,VII,49,1,0,11800000.0
177,Pasig,60,1,0,17000000.0
178,Pasig,48,1,0,12100000.0
179,Mandaluyong,60,2,2,10300000.0
180,Makati,24,1,0,7100000.0
181,Makati,30,1,0,8600000.0
182,Makati,28,1,0,9800000.0
183,Benguet,20,1,0,3600000.0
184,Other NCR loc,31,1,0,3770000.0
185,Mandaluyong,50,1,2,8000000.0
186,Makati,38,1,2,6680000.0
187,Quezon City,30,1,2,4470000.0
188,IV A,26,1,0,1770000.0
189,Quezon City,27,1,0,2300000.0
190,Other NCR loc,157,3,3,25000000.0
191,VII,60,1,2,5590000.0
192,VII,57,1,2,11000000.0
193,Pasig,39,2,2,5500000.0
194,IV A,26,1,0,5410000.0
195,IV A,68,1,0,21400000.0
196,VII,18,1,0,1420000.0
197,VII,24,1,0,2040000.0
198,Makati,30,1,0,8060000.000000001
199,Pasay,25,1,0,11400000.0
200,Quezon City,30,1,0,8100000.0
201,IV A,31,1,2,4500000.0
202,IV A,24,1,0,3950000.0
203,Other NCR loc,24,1,0,4090000.0
204,IV A,33,1,2,6200000.0
205,Other NCR loc,39,1,2,7000000.0
206,Other City/Province,63,1,2,9390000.0
207,IV A,26,1,0,3490000.0
208,Pasay,26,1,0,4000000.0
209,Quezon City,23,1,0,3400000.0
210,Other NCR loc,24,1,0,4720000.0
211,Mandaluyong,24,1,0,5300000.0
212,Taguig,32,1,0,3800000.0
213,Taguig,51,1,0,20000000.0
214,Other NCR loc,34,1,2,5300000.0
215,Mandaluyong,30,1,0,5040000.0
216,Other NCR loc,20,1,0,2300000.0
217,VII,24,1,0,3500000.0
218,Makati,22,1,0,5000000.0
219,Quezon City,158,2,2,39900000.0
220,Taguig,120,2,2,51000000.0
221,Other NCR loc,62,2,0,3300000.0
222,IV A,68,2,2,8700000.0
223,III,23,1,0,2200000.0
224,Quezon City,42,2,3,5000000.0
225,Pasig,52,1,0,13000000.0
226,Pasig,105,3,2,32000000.0
227,Other City/Province,23,0,0,4270000.0
228,IV A,33,1,0,5660000.0
229,Quezon City,26,1,0,2000000.0
230,Other NCR loc,80,3,3,12000000.0
231,Other NCR loc,156,3,3,21300000.0
232,Other NCR loc,30,1,0,2100000.0
233,Makati,48,1,0,13900000.0
234,Quezon City,22,1,0,5200000.0
235,VII,33,1,0,3110000.0
236,Other NCR loc,56,1,2,6140000.0
237,Quezon City,27,1,0,3900000.0
238,Pasig,117,2,3,18600000.0
239,III,24,1,0,3180000.0
240,Makati,24,1,0,6500000.0
241,Taguig,36,1,0,8900000.0
242,Makati,26,1,0,6420000.0
243,IV A,15,1,0,2650000.0
244,Pasig,29,1,0,3700000.0
245,Other NCR loc,61,1,0,15300000.0
246,Pasig,147,3,3,50000000.0
247,Pasig,111,2,2,29000000.0
248,Other NCR loc,25,1,0,6650000.0
249,Pasay,86,2,3,30000000.0
250,VII,37,1,0,5300000.0
251,Other NCR loc,37,1,0,6500000.0
252,Quezon City,54,1,2,7500000.0
253,Pasig,31,1,0,4500000.0
254,Other NCR loc,56,1,2,4500000.0
255,VII,36,1,0,8000000.0
256,VII,27,1,0,4200000.0
257,Mandaluyong,46,3,2,5000000.0
258,Other NCR loc,112,2,3,10200000.0
259,Other NCR loc,30,1,0,6990000.0
260,Other NCR loc,142,2,2,40000000.0
261,III,41,1,0,3220000.0
263,Other NCR loc,23,1,0,2000000.0
264,IV A,70,3,3,14000000.0
265,VII,20,1,0,3070000.0
266,Pasig,92,2,2,20000000.0
267,Taguig,43,1,0,9860000.0
268,Mandaluyong,55,2,2,4300000.0
269,Quezon City,36,1,0,7700000.0
270,Pasig,24,1,0,4240000.0
272,Quezon City,65,1,0,14100000.0
273,Other NCR loc,22,1,0,2750000.0
274,Other NCR loc,24,1,0,3920000.0
275,Mandaluyong,22,1,0,3100000.0
276,Taguig,33,1,0,4300000.0
277,Other NCR loc,63,1,2,4000000.0
278,Other NCR loc,26,1,0,7000000.0
279,IV A,26,1,0,5550000.0
280,Other City/Province,20,1,0,3880000.0
281,Pasig,117,3,3,19500000.0
282,Other NCR loc,32,1,2,4930000.0
283,Other NCR loc,31,1,0,10000000.0
284,Mandaluyong,48,1,0,8480000.0
285,Mandaluyong,25,1,0,4650000.0
286,VII,81,2,2,20000000.0
287,Mandaluyong,22,1,0,5470000.0
288,Makati,24,1,0,6500000.0
289,IV A,68,1,0,20600000.0
290,IV A,28,1,0,2550000.0
291,VII,155,4,4,28300000.0
292,Makati,26,1,0,6420000.0
293,Benguet,56,1,2,10500000.0
294,Other NCR loc,25,1,0,4139999.9999999995
295,IV A,15,1,0,2650000.0
296,Pasig,29,1,0,3700000.0
297,VII,18,1,0,1940000.0
298,Pasig,146,3,3,9500000.0
