,HouseDescription,Address,Cost,City/Province,Sqm,ZscoreCost,ZscoreSQM
56,For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite",1440000.0,Cavite,300,-0.06924520451426605,-0.1194888779872478
57,"For Sale Agricultural Farm 58,646 sqm. ","Tanay, Rizal",24000000.0,Rizal,58646,-0.06458793881723893,0.04113304335660378
58,"For Sale Agricultural Farm 6,849 sqm. ","Batangas City, Batangas",3500000.0,Batangas,6849,-0.06881994000469709,-0.10145999918011649
59,"For Sale Agricultural Farm 20,834 sqm. ","Lipa, Batangas",107000000.0,Batangas,20834,-0.047453494985091216,-0.06296040075016816
61,For Sale Agricultural Farm 500 sqm. ,"Gitagum, Misamis Oriental",1250000.0,Oriental,500,-0.06928442793990591,-0.11893829381234687
62,"For Sale Agricultural Farm 90,000 sqm. ","Tigbauan, Iloilo",9000000.0,Iloilo,90000,-0.06768452505196441,0.12744812445582435
63,"For Sale Agricultural Farm 68,501 sqm. ","San Jose, Tarlac",20600000.0,Tarlac,68501,-0.06528983169711003,0.06826307857484766
64,"For Sale Raw Land 102,206 sqm. ","Gerona, Tarlac",30700000.0,Tarlac,102206,-0.0632047969657282,0.16105027665002877
65,For Sale Agricultural Farm 400 sqm. ,"Amadeo, Cavite",1800000.0,Cavite,400,-0.06917088644463265,-0.11921358589979733
66,For Sale Residential Farm 150 sqm. ,"Amadeo, Cavite",825000.0,Cavite,150,-0.0693721645498898,-0.11990181611842352
67,For Sale Residential Farm 100 sqm. ,"Norzagaray, Bulacan",200000.0,Bulacan,100,-0.0695011889763367,-0.12003946216214875
68,For Sale Residential Farm 500 sqm. ,"Indang, Cavite",2029999.9999999998,Cavite,500,-0.06912340545570018,-0.11893829381234687
69,"For Sale Residential Farm 3,190 sqm. ","Lipa, Batangas",10700000.0,Batangas,3190,-0.06733357861202885,-0.11153293665992921
70,"For Sale Agricultural Farm 2,243 sqm. ","Burgos, Surigao del Norte",7000000.0,Norte,2243,-0.06809740321659448,-0.11413995272808516
71,"For Sale Agricultural Farm 20,000 sqm. ","Baliuag, Bulacan",30000000.0,Bulacan,20000,-0.06334930432334873,-0.0652563367595051
72,"For Sale Agricultural Farm 61,000 sqm. ","Gumaca, Quezon",1800000.0,Quezon,61000,-0.06917088644463265,0.04761341909518786
73,For Sale Residential Farm 300 sqm. ,"Lubao, Pampanga",480000.0,Pampanga,300,-0.06944338603328849,-0.1194888779872478
74,For Sale Residential Farm 500 sqm. ,"Tanay, Rizal",1250000.0,Rizal,500,-0.06928442793990591,-0.11893829381234687
75,For Sale Residential Farm 500 sqm. ,"General Tinio (Papaya), Nueva Ecija",750000.0,Ecija,500,-0.06938764748106344,-0.11893829381234687
76,"For Sale Agricultural Farm 40,691 sqm. ","Baungon, Bukidnon",12200000.0,Bukidnon,40691,-0.06702391998855631,-0.008295650945128217
77,For Sale Agricultural Farm 100 sqm. ,"Norzagaray, Bulacan",250000.0,Bulacan,100,-0.06949086702222095,-0.12003946216214875
78,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",1500000.0,Quezon,1000,-0.06923281816932715,-0.11756183337509452
79,"For Sale Agricultural Farm 3,000 sqm. ","Bacolor, Pampanga",18500000.0,Pampanga,3000,-0.0657233537699716,-0.1120559916260851
80,For Sale Residential Farm 150 sqm. ,"Tanay, Rizal",450000.0,Rizal,150,-0.06944957920575794,-0.11990181611842352
81,For Sale Residential Farm 500 sqm. ,"Nasugbu, Batangas",550000.0,Batangas,500,-0.06942893529752643,-0.11893829381234687
82,"For Sale Agricultural Farm 40,000 sqm. ","Pitogo, Quezon",1500000.0,Quezon,40000,-0.06923281816932715,-0.010197919269410969
83,"For Sale Agricultural Farm 30,000 sqm. ","Umingan, Pangasinan",5400000.0,Pangasinan,30000,-0.06842770574829853,-0.03772712801445803
84,"For Sale Residential Farm 1,000 sqm. ","Loon, Bohol",650000.0,Bohol,1000,-0.06940829138929493,-0.11756183337509452
85,For Sale Residential Farm 500 sqm. ,"Bagac, Bataan",1000000.0,Bataan,500,-0.06933603771048467,-0.11893829381234687
86,"For Sale Agricultural Farm 31,000 sqm. ","Umingan, Pangasinan",3720000.0,Pangasinan,31000,-0.06877452340658778,-0.03497420713995333
87,"For Sale Agricultural Farm 200,000 sqm. ","Umingan, Pangasinan",40000000.0,Pangasinan,200000,-0.0612849135001984,0.430269420651342
88,"For Sale Agricultural Farm 15,000 sqm. ","Jasaan, Misamis Oriental",13500000.0,Oriental,15000,-0.06675554918154676,-0.07902094113202862
89,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",950000.0,Quezon,1000,-0.06934635966460043,-0.11756183337509452
90,For Sale Others 300 sqm. ,"Magallanes, Cavite",1140000.0,Cavite,300,-0.06930713623896056,-0.1194888779872478
91,For Sale Residential Farm 500 sqm. ,"Pililla, Rizal",1250000.0,Rizal,500,-0.06928442793990591,-0.11893829381234687
92,"For Sale Agricultural Farm 7,194 sqm. ","Samal, Davao del Norte",3000000.0,Norte,7194,-0.06892315954585461,-0.10051024147841237
93,"For Sale Agricultural Farm 1,782 sqm. ","Samal, Davao del Norte",1000000.0,Norte,1782,-0.06933603771048467,-0.11540904925123183
94,"For Sale Agricultural Farm 20,000 sqm. ","Tayug, Pangasinan",7000000.0,Pangasinan,20000,-0.06809740321659448,-0.0652563367595051
95,"For Sale Agricultural Farm 1,000 sqm. ","Alfonso, Cavite",3200000.0,Cavite,1000,-0.0688818717293916,-0.11756183337509452
96,"For Sale Agricultural Farm 39,678 sqm. ","Lavezares, Northern Samar",9000000.0,Samar,39678,-0.06768452505196441,-0.011084359791001485
97,For Sale Agricultural Farm 80 sqm. ,"Morong, Rizal",308000.0,Rizal,80,-0.06947889355544667,-0.12009452057963885
98,"For Sale Agricultural Farm 41,000 sqm. ","Umingan, Pangasinan",7000000.0,Pangasinan,41000,-0.06809740321659448,-0.0074449983949062635
99,"For Sale Agricultural Farm 60,000 sqm. ","Maddela, Quirino",12000000.0,Quirino,60000,-0.06706520780501932,0.04486049822068316
100,"For Sale Agricultural Farm 15,000 sqm. ","Unisan, Quezon",1700000.0,Quezon,15000,-0.06919153035286416,-0.07902094113202862
101,"For Sale Agricultural Farm 1,000 sqm. ","Alfonso, Cavite",3200000.0,Cavite,1000,-0.0688818717293916,-0.11756183337509452
102,For Sale Residential Farm 500 sqm. ,"Pililla, Rizal",1200000.0,Rizal,500,-0.06929474989402166,-0.11893829381234687
103,"For Sale Agricultural Farm 20,000 sqm. ","Tayug, Pangasinan",7000000.0,Pangasinan,20000,-0.06809740321659448,-0.0652563367595051
104,"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite",4000000.0,Cavite,1000,-0.06871672046353958,-0.11756183337509452
105,For Sale Agricultural Farm 200 sqm. ,"Alfonso, Cavite",1000000.0,Cavite,200,-0.06933603771048467,-0.11976417007469828
106,For Sale Residential Farm 250 sqm. ,"Magallanes, Cavite",1000000.0,Cavite,250,-0.06933603771048467,-0.11962652403097304
107,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",850000.0,Quezon,1000,-0.06936700357283193,-0.11756183337509452
108,For Sale Residential Farm 100 sqm. ,"Morong, Rizal",500000.0,Rizal,100,-0.06943925725164218,-0.12003946216214875
109,For Sale Residential Farm 500 sqm. ,"Indang, Cavite",2029999.9999999998,Cavite,500,-0.06912340545570018,-0.11893829381234687
110,"For Sale Residential Farm 6,412 sqm. ","Indang, Cavite",19200000.0,Cavite,6412,-0.06557884641235108,-0.10266302560227504
111,For Sale Agricultural Farm 130 sqm. ,"Alfonso, Cavite",1560000.0,Cavite,130,-0.06922043182438825,-0.11995687453591361
112,For Sale Agricultural Farm 500 sqm. ,"Cebu City, Cebu",750000.0,Cebu,500,-0.06938764748106344,-0.11893829381234687
113,For Sale Agricultural Farm 500 sqm. ,"Tanay, Rizal",1000000.0,Rizal,500,-0.06933603771048467,-0.11893829381234687
114,"For Sale Residential Farm 100,000 sqm. ","Calintaan, Occidental Mindoro",600000.0,Mindoro,100000,-0.06941861334341068,0.1549773332008714
115,For Sale Residential Farm 300 sqm. ,"Indang, Cavite",1430000.0,Cavite,300,-0.06924726890508921,-0.1194888779872478
116,For Sale Agricultural Farm 100 sqm. ,"Teresa, Rizal",440000.0,Rizal,100,-0.06945164359658108,-0.12003946216214875
117,"For Sale Agricultural Farm 60,000 sqm. ","Bongabong, Oriental Mindoro",27000000.0,Mindoro,60000,-0.06396862157029383,0.04486049822068316
118,For Sale Raw Land 200 sqm. ,"Jalajala, Rizal",400000.0,Rizal,200,-0.06945990115987369,-0.11976417007469828
119,"For Sale Residential Farm 23,000 sqm. ","Nasugbu, Batangas",10300000.0,Batangas,23000,-0.06741615424495487,-0.05699757413599098
120,"For Sale Agricultural Farm 99,000 sqm. ","Santa Catalina, Negros Oriental",6000000.0,Oriental,99000,-0.06830384229890951,0.1522244123263667
121,For Sale Agricultural Farm 450 sqm. ,"Nasugbu, Batangas",513000.0,Batangas,450,-0.06943657354357209,-0.1190759398560721
123,"For Sale Agricultural Farm 1,013 sqm. ","Lemery, Batangas",8900000.0,Batangas,1013,-0.06770516896019592,-0.11752604540372595
124,For Sale Agricultural Farm 200 sqm. ,"Borbon, Cebu",350000.0,Cebu,200,-0.06947022311398944,-0.11976417007469828
125,"For Sale Agricultural Farm 230,000 sqm. ","Mangatarem, Pangasinan",80500000.0,Pangasinan,230000,-0.052924130666439584,0.5128570468864831
126,For Sale Residential Farm 200 sqm. ,"Alfonso, Cavite",1000000.0,Cavite,200,-0.06933603771048467,-0.11976417007469828
127,"For Sale Agricultural Farm 1,016,000 sqm. ","Infanta, Pangasinan",203000000.0,Pangasinan,1016000,-0.02763534308284809,2.6766528542471826
128,"For Sale Agricultural Farm 5,913 sqm. ","Lipa, Batangas",5910000.0,Batangas,5913,-0.06832242181631785,-0.10403673311865289
129,For Sale Residential Farm 500 sqm. ,"Indang, Cavite",2000000.0,Cavite,500,-0.06912959862816964,-0.11893829381234687
130,For Sale Raw Land 972 sqm. ,"Jalajala, Rizal",2430000.0,Rizal,972,-0.06904082982277418,-0.11763891515958064
131,"For Sale Agricultural Farm 1,200 sqm. ","Tagaytay, Cavite",5500000.0,Cavite,1200,-0.06840706184006702,-0.11701124920019357
132,For Sale Residential Farm 100 sqm. ,"San Juan, Batangas",240000.0,Batangas,100,-0.06949293141304409,-0.12003946216214875
133,"For Sale Agricultural Farm 105,000 sqm. ","Naga, Camarines Sur",36800000.0,Sur,105000,-0.06194551856360651,0.16874193757339492
134,"For Sale Agricultural Farm 3,457 sqm. ","Bantayan, Cebu",950000.0,Cebu,3457,-0.06934635966460043,-0.11079790678643645
135,For Sale Agricultural Farm 900 sqm. ,"Alfonso, Cavite",4050000.0,Cavite,900,-0.06870639850942382,-0.11783712546254499
136,"For Sale Agricultural Farm 101,945 sqm. ","Hinigaran, Negros Occidental",12000000.0,Occidental,101945,-0.06706520780501932,0.16033176430178306
137,"For Sale Agricultural Farm 2,726 sqm. ","Alfonso, Cavite",8180000.0,Cavite,2726,-0.06785380509946273,-0.11281029194569939
138,"For Sale Agricultural Farm 26,000 sqm. ","Jalajala, Rizal",9100000.0,Rizal,26000,-0.06766388114373291,-0.04873881151247686
139,"For Sale Residential Farm 13,355 sqm. ","Tanauan, Batangas",14700000.0,Batangas,13355,-0.06650782228276872,-0.08354949597058886
140,"For Sale Agricultural Farm 20,100 sqm. ","Floridablanca, Pampanga",14700000.0,Pampanga,20100,-0.06650782228276872,-0.06498104467205462
141,For Sale Residential Farm 100 sqm. ,"Teresa, Rizal",400000.0,Rizal,100,-0.06945990115987369,-0.12003946216214875
143,"For Sale Agricultural Farm 10,000 sqm. ","Naic, Cavite",30000000.0,Cavite,10000,-0.06334930432334873,-0.09278554550455216
144,For Sale Residential Farm 500 sqm. ,"Tanay, Rizal",1000000.0,Rizal,500,-0.06933603771048467,-0.11893829381234687
145,"For Sale Residential Farm 1,000 sqm. ","Tuy, Batangas",1600000.0,Batangas,1000,-0.06921217426109565,-0.11756183337509452
146,"For Sale Residential Farm 2,000 sqm. ","Jalajala, Rizal",400000.0,Rizal,2000,-0.06945990115987369,-0.1148089125005898
147,For Sale Agricultural Farm 150 sqm. ,"Lubao, Pampanga",240000.0,Pampanga,150,-0.06949293141304409,-0.11990181611842352
148,"For Sale Agricultural Farm 101,945 sqm. ","Hinigaran, Negros Occidental",12000000.0,Occidental,101945,-0.06706520780501932,0.16033176430178306
149,For Sale Residential Farm 150 sqm. ,"Silang, Cavite",1130000.0,Cavite,150,-0.06930920062978371,-0.11990181611842352
150,For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite",840000.0,Cavite,300,-0.06936906796365508,-0.1194888779872478
151,"For Sale Residential Farm 13,355 sqm. ","Tanauan, Batangas",14700000.0,Batangas,13355,-0.06650782228276872,-0.08354949597058886
152,For Sale Residential 750 sqm. ,"Calamba, Laguna",5850000.0,Laguna,750,-0.06833480816125677,-0.11825006359372069
153,For Sale Residential Farm 500 sqm. ,"Pililla, Rizal",1250000.0,Rizal,500,-0.06928442793990591,-0.11893829381234687
154,"For Sale Agricultural Farm 105,000 sqm. ","Naga, Camarines Sur",36800000.0,Sur,105000,-0.06194551856360651,0.16874193757339492
155,For Sale Residential Farm 100 sqm. ,"Pililla, Rizal",400000.0,Rizal,100,-0.06945990115987369,-0.12003946216214875
156,"For Sale Residential Farm 1,500 sqm. ","Palauig, Zambales",6500000.0,Zambales,1500,-0.06820062275775199,-0.11618537293784216
157,For Sale Residential Farm 100 sqm. ,"El Nido (Bacuit), Palawan",1800000.0,Palawan,100,-0.06917088644463265,-0.12003946216214875
158,"For Sale Agricultural Farm 15,497 sqm. ","Alfonso, Cavite",45000000.0,Cavite,15497,-0.06025271808862324,-0.07765273945739978
159,"For Sale Agricultural Farm 95,000 sqm. ","Plaridel, Bulacan",760000000.0,Bulacan,95000,0.08735122576662506,0.14121272882834787
160,"For Sale Residential Farm 1,010 sqm. ","Nasugbu, Batangas",1400000.0,Batangas,1010,-0.06925346207755866,-0.11753430416634947
161,For Sale Residential Farm 100 sqm. ,"Teresa, Rizal",400000.0,Rizal,100,-0.06945990115987369,-0.12003946216214875
163,"For Sale Agricultural Farm 10,000 sqm. ","Naic, Cavite",30000000.0,Cavite,10000,-0.06334930432334873,-0.09278554550455216
164,"For Sale Residential Farm 10,000 sqm. ","Pandi, Bulacan",15000000.0,Bulacan,10000,-0.06644589055807422,-0.09278554550455216
165,For Sale Agricultural Farm 300 sqm. ,"Pililla, Rizal",1170000.0,Rizal,300,-0.06930094306649112,-0.1194888779872478
166,"For Sale Agricultural Farm 210,000 sqm. ","Roxas, Palawan",9500000.0,Palawan,210000,-0.06758130551080689,0.45779862939638905
167,For Sale Agricultural Farm 650 sqm. ,"Norzagaray, Bulacan",780000.0,Bulacan,650,-0.06938145430859398,-0.11852535568117116
168,For Sale Agricultural Farm 650 sqm. ,"Norzagaray, Bulacan",780000.0,Bulacan,650,-0.06938145430859398,-0.11852535568117116
169,For Sale Residential Farm 758 sqm. ,"Tuy, Batangas",1000000.0,Batangas,758,-0.06933603771048467,-0.11822804022672465
170,"For Sale Agricultural Farm 24,038 sqm. ","Apalit, Pampanga",14500000.0,Pampanga,24038,-0.06654911009923173,-0.05414004226825509
171,"For Sale Residential 20,000 sqm. ","Pililla, Rizal",1000000.0,Rizal,20000,-0.06933603771048467,-0.0652563367595051
172,"For Sale Agricultural Farm 2,151 sqm. ","Samal, Davao del Norte",2500000.0,Norte,2151,-0.06902637908701212,-0.1143932214485396
173,"For Sale Agricultural Farm 2,958 sqm. ","Samal, Davao del Norte",8800000.0,Norte,2958,-0.06772581286842742,-0.11217161430281429
174,For Sale Agricultural Farm 80 sqm. ,"Morong, Rizal",308000.0,Rizal,80,-0.06947889355544667,-0.12009452057963885
175,"For Sale Agricultural Farm 220,000 sqm. ","Santa Maria, Bulacan",440000000.0,Bulacan,220000,0.02129071942581463,0.4853278381414361
176,For Sale Residential Farm 500 sqm. ,"Lian, Batangas",600000.0,Batangas,500,-0.06941861334341068,-0.11893829381234687
177,"For Sale Residential Farm 150,000 sqm. ","Balayan, Batangas",120000000.0,Batangas,150000,-0.04476978691499579,0.29262337692610674
178,For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite",1750000.0,Cavite,500,-0.0691812083987484,-0.11893829381234687
179,"For Sale Residential Farm 19,317 sqm. ","San Juan, Batangas",290000000.0,Batangas,19317,-0.009675142921440257,-0.06713658171679181
180,"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon",950000.0,Quezon,1000,-0.06934635966460043,-0.11756183337509452
181,"For Sale Agricultural Farm 100,000 sqm. ","Pandi, Bulacan",200000000.0,Bulacan,100000,-0.028254660329793187,0.1549773332008714
182,"For Sale Agricultural Farm 30,000 sqm. ","Tanay, Rizal",21000000.0,Rizal,30000,-0.06520725606418402,-0.03772712801445803
183,"For Sale Residential Farm 20,119 sqm. ","Camiling, Tarlac",8500000.0,Tarlac,20119,-0.06778774459312192,-0.06492873917543904
184,For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal",300000.0,Rizal,100,-0.06948054506810519,-0.12003946216214875
185,"For Sale Agricultural Farm 48,351 sqm. ","Tagum, Davao del Norte",12500000.0,Norte,48351,-0.0669619882638618,0.012791722953577833
186,For Sale Residential 130 sqm. ,"Silang, Cavite",1560000.0,Cavite,130,-0.06922043182438825,-0.11995687453591361
187,"For Sale Agricultural Farm 1,000 sqm. ","Tabuelan, Cebu",1000000.0,Cebu,1000,-0.06933603771048467,-0.11756183337509452
188,"For Sale Agricultural Farm 27,677 sqm. ","Bantayan, Cebu",10500000.0,Cebu,27677,-0.06737486642849186,-0.044122163205932464
189,"For Sale Residential Farm 1,000 sqm. ","Nasugbu, Batangas",3000000.0,Batangas,1000,-0.06892315954585461,-0.11756183337509452
190,For Sale Residential Farm 250 sqm. ,"Indang, Cavite",1200000.0,Cavite,250,-0.06929474989402166,-0.11962652403097304
191,"For Sale Residential Farm 1,010 sqm. ","Tuy, Batangas",1110000.0,Batangas,1010,-0.06931332941143002,-0.11753430416634947
192,"For Sale Agricultural Farm 27,815 sqm. ","Tigaon, Camarines Sur",41700000.0,Sur,27815,-0.06093396706026285,-0.043742260125250815
193,"For Sale Residential Farm 1,010 sqm. ","Tuy, Batangas",1110000.0,Batangas,1010,-0.06931332941143002,-0.11753430416634947
194,"For Sale Agricultural Farm 10,000 sqm. ","Tanay, Rizal",11000000.0,Rizal,10000,-0.06727164688733435,-0.09278554550455216
195,"For Sale Residential Farm 17,000 sqm. ","Malasiqui, Pangasinan",40000000.0,Pangasinan,17000,-0.0612849135001984,-0.07351509938301921
196,"For Sale Agricultural Farm 43,000 sqm. ","Umingan, Pangasinan",8600000.0,Pangasinan,43000,-0.06776710068489042,-0.0019391566458968506
197,For Sale Agricultural Farm 250 sqm. ,"Magallanes, Cavite",700000.0,Cavite,250,-0.06939796943517919,-0.11962652403097304
198,For Sale Residential Farm 150 sqm. ,"Indang, Cavite",525000.0,Cavite,150,-0.06943409627458431,-0.11990181611842352
199,"For Sale Agricultural Farm 10,000 sqm. ","Rosario, Batangas",3000000.0,Batangas,10000,-0.06892315954585461,-0.09278554550455216
200,"For Sale Residential Farm 60,000 sqm. ","San Ildefonso, Bulacan",15000000.0,Bulacan,60000,-0.06644589055807422,0.04486049822068316
201,"For Sale Agricultural Farm 6,000 sqm. ","Jalajala, Rizal",4800000.0,Rizal,6000,-0.06855156919768755,-0.10379722900257098
202,For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite",1350000.0,Cavite,300,-0.06926378403167441,-0.1194888779872478
