,Brand,StorageCapacity,ScreenSize,BatteryCap,Prices
331,Xiaomi,128GB,6.5-6.99 inches,4201mAh-4999mAh,18999.0
332,Xiaomi,256GB,6.5-6.99 inches,5000+mAh,24999.0
333,Xiaomi,256GB,6.5-6.99 inches,5000+mAh,24999.0
334,realme,128GB,6.0-6.5 inches,4201mAh-4999mAh,18990.0
335,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,19990.0
336,Samsung,128GB,6.0-6.5 inches,5000+mAh,11990.0
337,Samsung,128GB,6.0-6.5 inches,5000+mAh,11990.0
338,OPPO,128GB,6.5-6.99 inches,5000+mAh,9499.0
339,Samsung,256GB,6.5-6.99 inches,5000+mAh,23990.0
340,OPPO,128GB,6.0-6.5 inches,4201mAh-4999mAh,13999.0
341,Samsung,128GB,6.5-6.99 inches,4201mAh-4999mAh,54990.0
342,OPPO,64GB,6.5-6.99 inches,4201mAh-4999mAh,4998.0
343,OPPO,64GB,6.5-6.99 inches,4201mAh-4999mAh,4998.0
345,realme,128GB,6.5-6.99 inches,5000+mAh,11990.0
346,Xiaomi,64GB,6.5-6.99 inches,5000+mAh,6699.0
348,OPPO,64GB,6.0-6.5 inches,4201mAh-4999mAh,6990.0
349,realme,64GB,6.0-6.5 inches,5000+mAh,5998.0
350,realme,64GB,6.0-6.5 inches,5000+mAh,5998.0
351,Vivo,128GB,6.0-6.5 inches,3700mAh-4200mAh,12999.0
352,OPPO,128GB,6.0-6.5 inches,4201mAh-4999mAh,19999.0
353,OPPO,256GB,6.0-6.5 inches,4201mAh-4999mAh,23999.0
355,ASUS,512GB,6.5-6.99 inches,5000+mAh,49995.0
359,Xiaomi,128GB,6.5-6.99 inches,4201mAh-4999mAh,18999.0
360,Xiaomi,256GB,6.5-6.99 inches,5000+mAh,29999.0
361,Samsung,128GB,6.0-6.5 inches,5000+mAh,13490.0
362,Xiaomi,128GB,6.5-6.99 inches,5000+mAh,21999.0
