Brand,CPU_name,RAM,Prices
Acer,Intel Core i5,8GB,49999
Lenovo,Intel Core i7,8GB,50995
Huawei,AMD Ryzen 5,8GB,50999
Asus,AMD Ryzen 7,8GB,51995
Asus,AMD Ryzen 7,8GB,51995
HP,Intel Core i5,8GB,52990
HP,Intel Core i5,4GB,52990
HP,AMD Ryzen 5,16GB,52990
Lenovo,AMD Ryzen 5,16GB,52995
Lenovo,Intel Core i5,16GB,52995
Dell,Intel Core i5,8GB,53990
Lenovo,Intel Core i5,4GB,53995
Asus,Intel Core i7,4GB,53995
HP,Intel Core i5,8GB,54990
Acer,Intel Core i5,Others,54990
Asus,Intel Core i5,8GB,54995
Asus,Intel Core i5,16GB,54995
Asus,AMD Ryzen 7,8GB,54995
Asus,AMD Ryzen 7,8GB,54995
Asus,Intel Core i5,8GB,54995
Lenovo,Intel Core i7,8GB,54999
Acer,Intel Core i5,16GB,54999
HP,AMD Ryzen 3,8GB,55990
MSI,Intel Core i7,8GB,55995
MSI,Intel Core i5,8GB,55995
Asus,Intel Core i5,8GB,55995
Asus,Intel Core i5,8GB,55995
HP,Others,8GB,57990
Lenovo,Intel Core i7,8GB,57995
Acer,Intel Core i7,16GB,58999
HP,AMD Ryzen 7,16GB,59990
HP,Intel Core i5,8GB,59990
Lenovo,Intel Core i7,4GB,59995
Lenovo,Intel Core i7,16GB,59995
Asus,Intel Core i5,16GB,59995
HP,Intel Core i5,8GB,59999
Acer,Intel Core i7,16GB,59999
Acer,Intel Core i7,8GB,59999
Acer,Intel Core i5,8GB,59999
HP,Intel Core i7,8GB,62990
HP,Intel Core i7,8GB,62990
HP,Intel Core i7,8GB,62990
Dell,Intel Core i7,8GB,62990
HP,AMD Ryzen 5,8GB,62990
Asus,AMD Ryzen 5,16GB,62995
Asus,AMD Ryzen 5,16GB,62995
Acer,Intel Core i5,8GB,62999
HP,Intel Core i5,8GB,64990
Lenovo,AMD Ryzen 7,16GB,64995
Asus,Intel Core i5,8GB,64995
Asus,Intel Core i7,16GB,64995
Asus,AMD Ryzen 5,8GB,64995
HP,AMD Ryzen 7,16GB,69990
Asus,Intel Core i7,8GB,69995
Acer,Intel Core i7,16GB,69999
Asus,Intel Core i5,16GB,69999
Acer,Intel Core i7,16GB,69999
Lenovo,Intel Core i7,16GB,71995
HP,Intel Core i7,16GB,72990
HP,Intel Core i7,16GB,72990
HP,Intel Core i5,16GB,79990
Asus,Intel Core i7,8GB,79995
Asus,Intel Core i5,16GB,84995
HP,Intel Core i5,8GB,85990
HP,Intel Core i5,8GB,87990
HP,Intel Core i5,8GB,87990
Asus,Intel Core i7,16GB,89995
Asus,Intel Core i7,16GB,94995
HP,Intel Core i7,16GB,95990
HP,Intel Core i7,16GB,95990
HP,Intel Core i7,16GB,99990
Asus,Intel Core i7,16GB,99995
HP,Intel Core i7,16GB,102990
HP,Intel Core i7,16GB,102990
