,Bedrooms,Bathrooms,Sqm,Cost,Zscore
10159,2,1,46,3080000.0,-0.3542776029745557
10160,4,3,85,5620000.0,-0.22597013842203204
10161,5,3,166,7620000.0,-0.12494063877437564
10162,5,3,100,5300000.0,-0.24213485836565707
10163,2,2,44,1060000.0,-0.4563173976186886
10164,2,2,53,4680000.0,-0.27345400325643054
10165,2,1,40,2780000.0,-0.36943202792170415
10166,2,1,35,1550000.0,-0.43156517020501284
10167,3,1,42,2020000.0,-0.40782323778781354
10168,5,5,350,36400000.0,1.3288738611553998
10169,4,5,209,20000000.0,0.5004319640446174
10170,4,3,99,6700000.0,-0.17141420861229759
10171,2,1,40,6520000.0,-0.18050686358058665
10172,2,1,36,1310000.0,-0.4436887101627316
10173,2,1,36,2340000.0,-0.39165851784418854
10174,2,1,40,4380000.0,-0.288608428203579
10175,3,1,64,9100000.0,-0.05017880903510991
10176,3,2,66,5150000.0,-0.2497120708392313
10177,2,3,64,13600000.0,0.17713756517211698
10178,3,2,60,6500000.0,-0.18151715857706324
10179,2,1,36,2670000.0,-0.3749886504023252
10180,2,2,54,1700000.0,-0.4239879577314386
10181,3,2,180,6300000.0,-0.19162010854182887
10182,2,1,44,1010000.0,-0.45884313510988006
10183,3,2,145,6770000.0,-0.1678781761246296
10184,3,5,215,17000000.0,0.3488877145731329
10185,5,3,166,7620000.0,-0.12494063877437564
10186,5,3,100,5300000.0,-0.24213485836565707
10187,4,3,85,5620000.0,-0.22597013842203204
10188,2,2,44,1060000.0,-0.4563173976186886
10189,2,1,40,2780000.0,-0.36943202792170415
10190,5,5,350,36400000.0,1.3288738611553998
10191,2,2,53,4680000.0,-0.27345400325643054
10192,2,1,35,1550000.0,-0.43156517020501284
10193,3,1,42,2020000.0,-0.40782323778781354
10194,4,5,209,20000000.0,0.5004319640446174
10195,2,1,40,6520000.0,-0.18050686358058665
10196,2,1,36,1310000.0,-0.4436887101627316
10197,2,1,36,2340000.0,-0.39165851784418854
10198,2,1,40,4380000.0,-0.288608428203579
10199,3,1,64,9100000.0,-0.05017880903510991
10200,3,2,66,5150000.0,-0.2497120708392313
10201,2,3,64,13600000.0,0.17713756517211698
10202,3,2,60,6500000.0,-0.18151715857706324
10203,2,1,36,2670000.0,-0.3749886504023252
10204,2,2,54,1700000.0,-0.4239879577314386
10205,3,2,180,6300000.0,-0.19162010854182887
10206,2,1,44,1010000.0,-0.45884313510988006
10207,3,2,145,6770000.0,-0.1678781761246296
10208,3,5,215,17000000.0,0.3488877145731329
10209,5,3,166,7620000.0,-0.12494063877437564
10210,5,3,100,5300000.0,-0.24213485836565707
10211,4,3,85,5620000.0,-0.22597013842203204
10212,2,2,44,1060000.0,-0.4563173976186886
10213,2,1,40,2780000.0,-0.36943202792170415
10214,5,5,350,36400000.0,1.3288738611553998
10215,2,2,53,4680000.0,-0.27345400325643054
10216,2,1,35,1550000.0,-0.43156517020501284
10217,3,1,42,2020000.0,-0.40782323778781354
10218,4,5,209,20000000.0,0.5004319640446174
10219,2,1,36,2340000.0,-0.39165851784418854
10220,2,1,36,1310000.0,-0.4436887101627316
10221,2,3,64,13600000.0,0.17713756517211698
10222,2,1,40,4380000.0,-0.288608428203579
10223,3,1,64,9100000.0,-0.05017880903510991
10224,3,2,66,5150000.0,-0.2497120708392313
10225,3,2,60,6500000.0,-0.18151715857706324
10226,6,4,260,17500000.0,0.374145089485047
10227,2,1,44,1010000.0,-0.45884313510988006
10228,2,2,54,1700000.0,-0.4239879577314386
10229,3,2,180,6300000.0,-0.19162010854182887
10230,3,2,145,6770000.0,-0.1678781761246296
10231,2,1,46,3080000.0,-0.3542776029745557
10232,4,3,85,5620000.0,-0.22597013842203204
10233,5,3,166,7620000.0,-0.12494063877437564
10234,5,3,100,5300000.0,-0.24213485836565707
10235,2,2,44,1060000.0,-0.4563173976186886
10236,2,2,53,4680000.0,-0.27345400325643054
10237,2,1,40,2780000.0,-0.36943202792170415
10238,2,1,35,1550000.0,-0.43156517020501284
10239,3,1,42,2020000.0,-0.40782323778781354
10240,5,5,350,36400000.0,1.3288738611553998
10241,4,5,209,20000000.0,0.5004319640446174
10242,4,3,99,6700000.0,-0.17141420861229759
10243,2,1,36,2340000.0,-0.39165851784418854
10244,2,1,36,1310000.0,-0.4436887101627316
10245,2,3,64,13600000.0,0.17713756517211698
10246,2,1,40,4380000.0,-0.288608428203579
10247,3,1,64,9100000.0,-0.05017880903510991
10248,3,2,66,5150000.0,-0.2497120708392313
10249,3,2,60,6500000.0,-0.18151715857706324
10250,6,4,260,17500000.0,0.374145089485047
10251,2,1,44,1010000.0,-0.45884313510988006
10252,2,2,54,1700000.0,-0.4239879577314386
10253,3,2,180,6300000.0,-0.19162010854182887
10254,3,2,145,6770000.0,-0.1678781761246296
10255,2,1,46,3080000.0,-0.3542776029745557
10256,4,3,85,5620000.0,-0.22597013842203204
10257,5,3,166,7620000.0,-0.12494063877437564
10258,5,3,100,5300000.0,-0.24213485836565707
10259,2,2,44,1060000.0,-0.4563173976186886
10260,2,2,53,4680000.0,-0.27345400325643054
10261,2,1,40,2780000.0,-0.36943202792170415
10262,2,1,35,1550000.0,-0.43156517020501284
10263,3,1,42,2020000.0,-0.40782323778781354
10264,5,5,350,36400000.0,1.3288738611553998
10265,4,5,209,20000000.0,0.5004319640446174
10266,4,3,99,6700000.0,-0.17141420861229759
10267,2,1,36,2340000.0,-0.39165851784418854
10268,2,1,36,1310000.0,-0.4436887101627316
10269,2,3,64,13600000.0,0.17713756517211698
10270,2,1,40,4380000.0,-0.288608428203579
10271,3,1,64,9100000.0,-0.05017880903510991
10272,3,2,66,5150000.0,-0.2497120708392313
10273,3,2,60,6500000.0,-0.18151715857706324
10274,6,4,260,17500000.0,0.374145089485047
10275,2,1,44,1010000.0,-0.45884313510988006
10276,2,2,54,1700000.0,-0.4239879577314386
10277,3,2,180,6300000.0,-0.19162010854182887
10278,3,2,145,6770000.0,-0.1678781761246296
10279,2,1,46,3080000.0,-0.3542776029745557
10280,4,3,85,5620000.0,-0.22597013842203204
10281,5,3,166,7620000.0,-0.12494063877437564
10282,5,3,100,5300000.0,-0.24213485836565707
10283,2,2,44,1060000.0,-0.4563173976186886
10284,2,2,53,4680000.0,-0.27345400325643054
10285,2,1,40,2780000.0,-0.36943202792170415
10286,2,1,35,1550000.0,-0.43156517020501284
10287,3,1,42,2020000.0,-0.40782323778781354
10288,5,5,350,36400000.0,1.3288738611553998
10289,4,5,209,20000000.0,0.5004319640446174
10290,4,3,99,6700000.0,-0.17141420861229759
10291,2,1,60,7840000.0,-0.11382739381313345
10292,2,1,36,1310000.0,-0.4436887101627316
10293,2,1,36,2340000.0,-0.39165851784418854
10294,2,1,40,4380000.0,-0.288608428203579
10295,2,3,64,13600000.0,0.17713756517211698
10296,3,1,64,9100000.0,-0.05017880903510991
10297,3,2,66,5150000.0,-0.2497120708392313
10298,3,2,60,6500000.0,-0.18151715857706324
